"","DATE","GDPC1","SP500"
"1","1990-01-01",9358.289,329.079987
"2","1990-04-01",9392.251,330.799988
"3","1990-07-01",9398.499,356.149994
"4","1990-10-01",9312.937,304
"5","1991-01-01",9269.367,343.929993
"6","1991-04-01",9341.642,375.339996
"7","1991-07-01",9388.845,387.809998
"8","1991-10-01",9421.565,392.450012
"9","1992-01-01",9534.346,408.779999
"10","1992-04-01",9637.732,414.950012
"11","1992-07-01",9732.979,424.209991
"12","1992-10-01",9834.51,418.679993
"13","1993-01-01",9850.973,438.779999
"14","1993-04-01",9908.347,440.190002
"15","1993-07-01",9955.641,448.130005
"16","1993-10-01",10091.049,467.829987
"17","1994-01-01",10188.954,481.609985
"18","1994-04-01",10327.019,450.910004
"19","1994-07-01",10387.382,458.26001
"20","1994-10-01",10506.372,472.350006
"21","1995-01-01",10543.644,470.420013
"22","1995-04-01",10575.1,514.710022
"23","1995-07-01",10665.06,562.059998
"24","1995-10-01",10737.478,581.5
"25","1996-01-01",10817.896,636.02002
"26","1996-04-01",10998.322,654.169983
"27","1996-07-01",11096.976,639.950012
"28","1996-10-01",11212.205,705.27002
"29","1997-01-01",11284.587,786.159973
"30","1997-04-01",11472.137,801.340027
"31","1997-07-01",11615.636,954.309998
"32","1997-10-01",11715.393,914.619995
"33","1998-01-01",11832.486,980.280029
"34","1998-04-01",11942.032,1111.75
"35","1998-07-01",12091.614,1120.670044
"36","1998-10-01",12287,1098.670044
"37","1999-01-01",12403.293,1279.640015
"38","1999-04-01",12498.694,1335.180054
"39","1999-07-01",12662.385,1328.719971
"40","1999-10-01",12877.593,1362.930054
"41","2000-01-01",12924.179,1394.459961
"42","2000-04-01",13160.842,1452.430054
"43","2000-07-01",13178.419,1430.829956
"44","2000-10-01",13260.506,1429.400024
"45","2001-01-01",13222.69,1366.01001
"46","2001-04-01",13299.984,1249.459961
"47","2001-07-01",13244.784,1211.22998
"48","2001-10-01",13280.859,1059.780029
"49","2002-01-01",13397.002,1130.199951
"50","2002-04-01",13478.152,1076.920044
"51","2002-07-01",13538.072,911.619995
"52","2002-10-01",13559.032,885.76001
"53","2003-01-01",13634.253,855.700012
"54","2003-04-01",13751.543,916.919983
"55","2003-07-01",13985.073,990.309998
"56","2003-10-01",14145.645,1050.709961
"57","2004-01-01",14221.147,1131.130005
"58","2004-04-01",14329.523,1107.300049
"59","2004-07-01",14464.984,1101.719971
"60","2004-10-01",14609.876,1130.199951
"61","2005-01-01",14771.602,1181.27002
"62","2005-04-01",14839.782,1156.849976
"63","2005-07-01",14972.054,1234.180054
"64","2005-10-01",15066.597,1207.01001
"65","2006-01-01",15267.026,1280.079956
"66","2006-04-01",15302.705,1310.609985
"67","2006-07-01",15326.368,1276.660034
"68","2006-10-01",15456.928,1377.939941
"69","2007-01-01",15493.328,1438.23999
"70","2007-04-01",15582.085,1482.369995
"71","2007-07-01",15666.738,1455.27002
"72","2007-10-01",15761.967,1549.380005
"73","2008-01-01",15671.383,1378.550049
"74","2008-04-01",15752.308,1385.589966
"75","2008-07-01",15667.032,1267.380005
"76","2008-10-01",15328.027,968.75
"77","2009-01-01",15155.94,825.880005
"78","2009-04-01",15134.117,872.809998
"79","2009-07-01",15189.222,987.47998
"80","2009-10-01",15356.058,1036.189941
"81","2010-01-01",15415.145,1073.869995
"82","2010-04-01",15557.277,1186.689941
"83","2010-07-01",15671.967,1101.599976
"84","2010-10-01",15750.625,1183.26001
"85","2011-01-01",15712.754,1286.119995
"86","2011-04-01",15825.096,1363.609985
"87","2011-07-01",15820.7,1292.280029
"88","2011-10-01",16004.107,1253.300049
"89","2012-01-01",16129.418,1312.410034
"90","2012-04-01",16198.807,1397.910034
"91","2012-07-01",16220.667,1379.319946
"92","2012-10-01",16239.138,1412.160034
"93","2013-01-01",16382.964,1498.109985
"94","2013-04-01",16403.18,1597.569946
"95","2013-07-01",16531.685,1685.72998
"96","2013-10-01",16663.649,1756.540039
"97","2014-01-01",16621.696,1782.589966
"98","2014-04-01",16830.111,1883.949951
"99","2014-07-01",17033.572,1930.670044
"100","2014-10-01",17113.945,2018.050049
"101","2015-01-01",17254.744,1994.98999
"102","2015-04-01",17397.029,2085.51001
"103","2015-07-01",17438.802,2103.840088
"104","2015-10-01",17456.225,2079.360107
"105","2016-01-01",17523.374,1940.23999
"106","2016-04-01",17622.486,2065.300049
"107","2016-07-01",17706.705,2173.600098
"108","2016-10-01",17784.185,2126.149902
"109","2017-01-01",17863.023,2278.870117
"110","2017-04-01",17995.15,2384.199951
"111","2017-07-01",18120.843,2470.300049
"112","2017-10-01",18223.758,2575.26001
"113","2018-01-01",18323.963,2823.810059
"114","2018-04-01",18511.576,2648.050049
"115","2018-07-01",18664.973,2816.290039
"116","2018-10-01",18765.256,2711.73999
"117","2019-01-01",18912.326,2704.100098
