"","gdp_z","sp_z"
"1",-1.64550726684499,-1.43595153038023
"2",-1.63340758656908,-1.4331839313514
"3",-1.63118160451962,-1.39239404112084
"4",-1.66166487534486,-1.47630694160631
"5",-1.67718760868275,-1.41205685695636
"6",-1.65143811242396,-1.36151601785315
"7",-1.63462104605379,-1.34145093334174
"8",-1.62296385452716,-1.3339848340545
"9",-1.58278323968714,-1.30770877016732
"10",-1.54594979215741,-1.29778079804017
"11",-1.51201603539281,-1.28288085967537
"12",-1.47584347081791,-1.29177900397542
"13",-1.46997817912772,-1.25943672214821
"14",-1.44953747904675,-1.25716793106411
"15",-1.43268799200333,-1.24439192419452
"16",-1.38444603019897,-1.21269330829187
"17",-1.34956530475841,-1.19052035078656
"18",-1.30037673054921,-1.23991871602048
"19",-1.27887113604669,-1.22809205460139
"20",-1.23647843373146,-1.20542028915136
"21",-1.22319949599978,-1.20852577964377
"22",-1.21199263118737,-1.13726013160329
"23",-1.17994247991182,-1.06107078776411
"24",-1.15414203688077,-1.02979049742959
"25",-1.1254914247723,-0.942064063314837
"26",-1.06121084902705,-0.912859533798804
"27",-1.02606327650661,-0.93574043789688
"28",-0.985010509928899,-0.83063608580407
"29",-0.9592228926587,-0.700478629288098
"30",-0.892404241350003,-0.676052886100745
"31",-0.84127968979497,-0.429913759914308
"32",-0.805739150212983,-0.493777684270789
"33",-0.764022294240234,-0.38812620713132
"34",-0.724994216520894,-0.176582048691909
"35",-0.671702467653619,-0.162229088948558
"36",-0.602092075733593,-0.197628590829235
"37",-0.560660236668586,0.0935644468416999
"38",-0.526671614149253,0.182932161161399
"39",-0.468353235842818,0.172537446601952
"40",-0.391680837491222,0.227583805579071
"41",-0.375083590411154,0.278317578403801
"42",-0.29076739486506,0.371595415502734
"43",-0.28450521713084,0.336839383240288
"44",-0.255259988498599,0.334538525034687
"45",-0.268732737727549,0.232539665043362
"46",-0.241195116643814,0.045002679644794
"47",-0.260861283277992,-0.0165119696419216
"48",-0.248008802094515,-0.260205279880692
"49",-0.206630403699709,-0.146894818004504
"50",-0.17771900112066,-0.232625825643086
"51",-0.156371234730806,-0.498604889072699
"52",-0.148903791747974,-0.540215370329144
"53",-0.122104720726425,-0.58858395922615
"54",-0.0803176793401443,-0.49007684656481
"55",0.00288231874100622,-0.371987302291382
"56",0.0600894873783825,-0.274799638481777
"57",0.0869886705887753,-0.145398297626225
"58",0.125599911080543,-0.183742323637064
"59",0.173860755255043,-0.192721050075942
"60",0.225481592500681,-0.146894818004504
"61",0.283099898027475,-0.064719590567604
"62",0.307390463989761,-0.104013108454159
"63",0.354515159515775,0.0204162661637452
"64",0.388198101401555,-0.0233021894578945
"65",0.459605168653758,0.0942723419442858
"66",0.472316566467903,0.143397242808041
"67",0.480747010327768,0.0887694539774327
"68",0.527261769671214,0.251735738446582
"69",0.540230038973461,0.348762633809328
"70",0.571851596073999,0.419770824490773
"71",0.602011016437823,0.376165114673555
"72",0.635938360321991,0.527594505173463
"73",0.603665895858398,0.25271744386901
"74",0.632497137432145,0.264045150918161
"75",0.602115760151418,0.0738372537938764
"76",0.481338064140197,-0.406678810916309
"77",0.420028433387014,-0.636566386220619
"78",0.412253528414955,-0.561052823699543
"79",0.431885849291338,-0.37654099445108
"80",0.491324700316332,-0.298163341904389
"81",0.512375692851,-0.237533562702706
"82",0.56301322176493,-0.0559985676752119
"83",0.60387395820105,-0.192914130222678
"84",0.631897533112483,-0.0615175608063527
"85",0.618405188971126,0.103991177032461
"86",0.658429400783024,0.228677860975127
"87",0.656863232874983,0.113903092267372
"88",0.722205852872712,0.0511816433892468
"89",0.766850545030238,0.146293644533533
"90",0.791571842794349,0.283868981387982
"91",0.799359929798391,0.253956260700803
"92",0.805940613927013,0.306798204197057
"93",0.857181666143085,0.445097542927448
"94",0.864384043401718,0.605135410039791
"95",0.910166665563403,0.746990923193589
"96",0.957181629579936,0.860929142136377
"97",0.942234986666826,0.90284525303765
"98",1.01648723520056,1.06594038847551
"99",1.0889745165331,1.14111620756728
"100",1.11760909644051,1.2817166008096
"101",1.16777171593191,1.24461139163055
"102",1.21846375432945,1.39026428336823
"103",1.23334626843832,1.41975863021523
"104",1.2395535804178,1.38036866960394
"105",1.26347683084023,1.15651490399569
"106",1.29878757554035,1.35774507643969
"107",1.32879237423173,1.532007248633
"108",1.35639626174651,1.45565664397207
"109",1.38448396546218,1.70139389570434
"110",1.43155700167367,1.87087678919408
"111",1.47633778940464,2.00941772469761
"112",1.51300343322994,2.17830546728012
"113",1.54870358228026,2.57823946396275
"114",1.61554467867044,2.2954296092108
"115",1.67019560191651,2.56613923841126
"116",1.70592354011534,2.39791107222034
"117",1.7583203358923,2.38561796443751
